cource,type,ver,image_path,rate_0,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10,rate_11
キノコキャニオン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h06m04s.jpg,10130,11153,13167,10497,12252,11428,11077,9408,11235,11400,18746,6092
ピーチサーキット,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h09m54s.jpg,9772,9072,16645,10151,9601,14599,8822,10252,10195,11224,0,0
シャーベットランド,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h13m40s.jpg,9755,9081,16652,10173,9605,14602,8823,10243,10181,11253,18019,9238
どうぶつの森,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h17m20s.jpg,9739,9083,16666,10180,9593,14613,8840,10237,10183,11283,9232,18745
グラグラかざん,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h21m02s.jpg,16657,10204,9590,14625,8843,10252,10190,11293,9225,18763,6107,14884
ドーナツへいや,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h24m32s.jpg,16672,10203,9579,14604,8853,10247,10202,11308,18782,6119,14896,0
キノピオハーバー,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h28m14s.jpg,16682,10199,9595,14584,8845,10247,10207,11332,18779,6115,14918,13901
DKジャングル,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h31m56s.jpg,16674,10227,8856,10242,10198,11347,18765,6114,14937,13916,0,0
カラカラさばく,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h35m40s.jpg,16643,10230,8858,10234,10220,11377,18772,6114,14936,13923,10760,9877
ネイチャーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h39m08s.jpg,16663,10211,8854,10245,10219,11402,18776,6126,14948,13898,0,0
ビッグブルー,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11020 年内の目標を15000【岸堂天真ホロスターズ】_03h42m40s.jpg,16649,10204,8865,10233,10237,11401,18777,6122,14965,12942,10527,11414
チクタクロック,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート11426 年内の目標を15000【岸堂天真ホロスターズ】_00h00m36s.jpg,10742,10920,10003,11157,9063,18638,10016,12109,9995,10217,9366,11426
